,1. open,2. high,3. low,4. close
2023-09-12,0.92980,0.93380,0.92880,0.92950
2023-09-11,0.93300,0.93360,0.92920,0.92980
2023-09-08,0.93460,0.93480,0.93050,0.93440
2023-09-07,0.93200,0.93540,0.93160,0.93460
2023-09-06,0.93230,0.93400,0.93020,0.93220
2023-09-05,0.92620,0.93370,0.92580,0.93230
2023-09-04,0.92770,0.92810,0.92490,0.92610
2023-09-01,0.92200,0.92800,0.91880,0.92790
2023-08-31,0.91480,0.92260,0.91390,0.92210
2023-08-30,0.91900,0.92090,0.91360,0.91510
2023-08-29,0.92400,0.92710,0.91800,0.91900
2023-08-28,0.92580,0.92620,0.92380,0.92390
2023-08-25,0.92460,0.92840,0.92220,0.92610
2023-08-24,0.92040,0.92520,0.91910,0.92440
2023-08-23,0.92180,0.92540,0.91970,0.92020
2023-08-22,0.91750,0.92280,0.91470,0.92180
2023-08-21,0.91940,0.91970,0.91610,0.91740
2023-08-18,0.91950,0.92170,0.91770,0.91960
2023-08-17,0.91880,0.92090,0.91570,0.91970
2023-08-16,0.91690,0.91960,0.91430,0.91870
2023-08-15,0.91680,0.91720,0.91300,0.91680
2023-08-14,0.91320,0.91910,0.91220,0.91670
2023-08-11,0.91030,0.91360,0.90850,0.91320
2023-08-10,0.91070,0.91150,0.90400,0.91020
2023-08-09,0.91260,0.91280,0.90930,0.91080
2023-08-08,0.90860,0.91460,0.90810,0.91260
2023-08-07,0.90790,0.91170,0.90760,0.90860
2023-08-04,0.91310,0.91420,0.90540,0.90810
2023-08-03,0.91390,0.91610,0.91190,0.91300
2023-08-02,0.90800,0.91560,0.90730,0.91380
2023-08-01,0.90900,0.91270,0.90720,0.90770
2023-07-31,0.90720,0.90930,0.90520,0.90900
2023-07-28,0.91070,0.91320,0.90520,0.90750
2023-07-27,0.90170,0.91160,0.89660,0.91070
2023-07-26,0.90420,0.90570,0.90040,0.90170
2023-07-25,0.90350,0.90700,0.90180,0.90410
2023-07-24,0.89840,0.90390,0.89690,0.90340
2023-07-21,0.89780,0.89990,0.89700,0.89840
2023-07-20,0.89250,0.89910,0.89030,0.89780
2023-07-19,0.89030,0.89440,0.88950,0.89250
2023-07-18,0.88960,0.89180,0.88670,0.89020
2023-07-17,0.89040,0.89230,0.88870,0.88960
2023-07-14,0.89060,0.89210,0.88910,0.89040
2023-07-13,0.89810,0.89820,0.89040,0.89050
2023-07-12,0.90810,0.90820,0.89740,0.89830
2023-07-11,0.90880,0.91070,0.90670,0.90820
2023-07-10,0.91170,0.91350,0.90860,0.90890
2023-07-07,0.91800,0.91990,0.91110,0.91140
2023-07-06,0.92090,0.92280,0.91720,0.91800
2023-07-05,0.91890,0.92130,0.91660,0.92090
